symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
002203,2008-01-16,13.42,2020-09-30,0.183,0.146,7.485,3.0,2.065,5.152,0.381,0.13,0.627,0.13,7.438,269.93,100.577,19.521,海亮股份
002204,2008-01-16,13.42,2020-12-31,0.0,0.152,8.316,4.5,1.83,3.382,0.025,0.063,0.614,0.091,0.49,169.397,65.313,19.314,大连重工
002205,2008-01-23,13.4,2020-12-31,0.019,0.123,5.732,2.0,1.949,5.586,0.107,0.023,0.727,0.054,0.2,38.046,10.38,1.858,国统股份
002206,2008-01-23,13.4,2020-12-31,0.01,0.149,8.006,7.5,2.237,2.388,0.208,0.114,0.503,0.074,2.547,58.735,29.208,12.23,海 利 得
002207,2008-01-28,13.39,2020-09-30,0.0,0.0,0.584,2.0,1.944,0.568,0.005,-0.459,0.624,0.065,0.013,3.955,1.488,2.621,准油股份
002208,2008-01-28,13.39,2020-12-31,0.235,0.177,11.53,5.93,3.843,7.47,1.121,0.117,0.678,0.17,9.001,186.613,60.009,8.033,合肥城建
002209,2008-01-30,13.38,2020-12-31,0.007,0.077,3.032,1.5,1.595,3.224,0.087,0.044,0.583,0.107,0.17,15.107,6.295,1.952,达 意 隆
002210,2008-01-30,13.38,2020-03-31,0.0,0.0,0.372,9.95,1.657,0.062,-0.597,-0.093,0.992,0.006,-9.865,128.792,1.029,16.529,*ST飞马
002211,2008-02-01,13.38,2021-03-31,0.0,0.023,1.413,1.5,1.852,1.744,-0.045,-0.003,0.338,0.044,-0.195,11.389,7.542,4.325,宏达新材
002212,2008-02-01,13.38,2020-09-30,0.066,0.181,11.666,3.0,1.949,7.579,-0.358,0.063,0.125,0.09,-4.167,100.89,88.324,11.654,天融信
002213,2008-02-01,13.38,2020-09-30,0.025,0.0,0.648,2.16,6.356,1.907,0.027,0.071,0.228,0.178,0.055,5.088,3.928,2.06,大为股份
002214,2008-02-18,13.33,2020-12-31,0.103,0.157,8.885,4.0,1.423,3.161,0.864,0.087,0.218,0.075,3.965,18.535,14.497,4.587,大立科技
002215,2008-02-18,13.33,2021-03-31,0.105,0.23,23.409,6.85,0.995,3.398,0.626,0.162,0.486,0.079,5.719,60.419,31.05,9.138,诺 普 信
002216,2008-02-20,13.33,2021-03-31,0.161,0.189,14.11,8.0,2.273,4.009,0.88,0.117,0.45,0.134,7.03,58.294,32.044,7.993,三全食品
002217,2008-02-20,13.33,2020-09-30,0.121,0.044,1.896,5.4,12.549,4.407,0.054,0.097,0.58,0.029,1.686,327.067,137.351,31.164,合力泰
002218,2008-02-28,13.3,2020-12-31,0.034,0.042,1.858,5.4,7.27,2.502,0.134,0.07,0.525,0.038,1.657,65.157,30.938,12.363,拓日新能
002219,2008-03-06,13.28,2020-09-30,0.0,0.0,0.957,19.28,1.793,0.089,-0.029,-0.134,0.966,0.026,-0.547,48.657,1.669,18.652,*ST恒康
002221,2008-03-06,13.28,2020-12-31,0.109,0.236,23.946,4.0,1.034,6.19,0.735,0.08,0.637,0.201,12.125,281.239,102.076,16.49,东华能源
002222,2008-03-19,13.25,2021-03-31,0.123,0.09,3.74,2.25,1.619,2.691,0.434,0.123,0.063,0.213,1.856,12.273,11.505,4.275,福晶科技
002223,2008-04-18,13.17,2020-12-31,0.11,0.23,22.355,8.46,2.828,7.476,1.752,0.205,0.255,0.225,17.566,100.653,74.949,10.025,鱼跃医疗
002224,2008-04-25,13.15,2020-09-30,0.081,0.185,12.184,7.16,1.94,3.301,0.225,0.094,0.157,0.404,1.641,28.564,24.086,7.295,三 力 士
002225,2008-04-25,13.15,2021-03-31,0.046,0.045,1.961,1.69,2.771,3.215,0.313,0.1,0.5,0.062,3.157,64.934,32.485,10.103,濮耐股份
002226,2008-05-06,13.12,2020-12-31,0.054,0.277,39.391,7.8,1.117,5.641,0.435,0.093,0.44,0.069,5.428,125.724,70.449,12.49,江南化工
002227,2008-05-06,13.12,2020-09-30,0.0,0.041,1.814,2.0,3.979,3.609,-0.121,0.035,0.403,0.031,-0.267,13.345,7.962,2.206,奥 特 迅
002228,2008-05-08,13.11,2020-12-31,0.169,0.175,11.213,8.51,2.323,3.06,0.264,0.109,0.534,0.067,3.274,81.305,37.902,12.386,合兴包装
002229,2008-05-08,13.11,2020-12-31,0.0,0.085,3.398,4.84,5.081,3.563,0.078,0.063,0.17,0.423,0.39,21.383,17.755,4.983,鸿博股份
002230,2008-05-12,13.1,2021-03-31,0.144,0.307,59.696,12.91,1.28,5.919,0.288,0.081,0.444,0.116,6.396,236.699,131.68,22.247,科大讯飞
002231,2008-05-12,13.1,2021-03-31,0.0,0.07,2.801,3.0,1.312,1.225,0.128,0.007,0.395,0.258,0.456,7.228,4.37,3.568,奥维通信
002232,2008-05-09,13.11,2020-12-31,0.035,0.127,6.034,2.8,1.477,3.183,0.314,0.059,0.418,0.439,1.284,22.35,13.006,4.085,启明信息
002233,2008-05-16,13.09,2021-03-31,0.087,0.133,6.732,2.0,2.678,9.014,1.181,0.13,0.135,0.116,14.083,124.243,107.471,11.923,塔牌集团
002234,2008-05-16,13.09,2020-09-30,0.285,0.099,4.03,2.0,4.34,8.745,0.342,0.07,0.198,0.245,1.034,32.929,26.415,3.02,民和股份
002235,2008-05-16,13.09,2020-09-30,0.0,0.158,8.752,4.39,1.53,3.052,-0.206,0.047,0.165,0.076,-1.197,21.211,17.719,5.806,安妮股份
002236,2008-05-20,13.08,2021-03-31,0.225,0.388,149.324,61.97,2.933,7.068,0.48,0.183,0.44,0.163,14.384,377.933,211.728,29.956,大华股份
002237,2008-05-20,13.08,2021-03-31,0.117,0.239,26.203,8.0,2.026,6.636,0.446,0.11,0.637,0.133,5.116,209.953,76.181,11.48,恒邦股份
002238,2008-05-26,13.06,2020-12-31,0.0,0.047,1.999,2.43,3.47,2.85,0.225,0.082,0.413,0.271,1.802,38.959,22.871,8.026,天威视讯
002239,2008-05-22,13.07,2020-09-30,0.017,0.042,1.831,9.24,8.399,1.664,-0.02,0.079,0.365,0.024,-0.622,82.084,52.091,31.314,奥特佳
002240,2008-05-23,13.07,2021-03-31,0.045,0.048,2.046,1.6,3.589,4.589,0.595,0.009,0.305,0.032,4.46,49.505,34.405,7.497,盛新锂能
